Zeus	25.450083652984254	203	Lifestyle\Wedding & Engagement:0.560829,Health:0.538375,Lifestyle\Religion and Belief:0.88818,Family & Parenting:0.909564
Alexander the Great	21.97546415769133	129	Law-Government-Politics:0.629047,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Law-Government-Politics\Military:0.532737,Family & Parenting:0.960199
Queen Elizabeth The Queen Mother	20.449728201529346	138	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Health\Health Conditions\Cancer:0.736395,Law-Government-Politics\Social Services:0.651,Health\Aging and Geriatrics:0.819598,Health:0.651,Lifestyle\Wedding & Engagement:0.840901,Family & Parenting:0.999653
Edward I of England	19.08694368412102	132	Arts & Entertainment\Pop Culture & Celebrity News:0.951323,Law-Government-Politics:0.51598,Law-Government-Politics\Politics:0.95,Lifestyle\Religion and Belief:0.469712,Family & Parenting:0.959539,Finance:0.651
Adoption	17.432396934256616	109	Law-Government-Politics:0.656244,Lifestyle\Religion and Belief:0.714907,Family & Parenting:0.998672
Child abuse	16.566201287792424	112	Shopping\Gifts & Special Event Items\Gifts:0.651,Health\Mental health\Psychology/Psychiatry:0.729093,Family & Parenting\Kids & Teens:0.623543,Family & Parenting:0.989837,Health\Health Conditions\Depression:0.592574
Peerage of Scotland	16.542447453468522	88	Family & Parenting:0.760167
George IV of the United Kingdom	14.995695150510931	72	Arts & Entertainment\Pop Culture & Celebrity News:0.951323,Lifestyle:0.883085,Law-Government-Politics:0.792622,Law-Government-Politics\Politics:0.95,Style & Fashion:0.651,Family & Parenting:0.985987,Finance\Retirement & Pension:0.668437
Church Fathers	14.451374607871392	89	Lifestyle\Religion and Belief:0.580672,Family & Parenting:0.999785
Veneration of Mary in Roman Catholicism	13.613562284791804	82	Lifestyle\Religion and Belief\Catholicism:0.95,Lifestyle\Religion and Belief:0.967066,Family & Parenting:0.995266
Emperor	13.341655540520037	104	Law-Government-Politics:0.564938,Family & Parenting:0.658062
Courtesy name	12.734879028216984	121	Family & Parenting\Adoption:0.651,Family & Parenting:0.729069
Parent	12.6375306563275	81	Business\Biotech/Biomedical:0.528137,Health:0.50276,Family & Parenting:1.0,Family & Parenting\Babies & Toddlers:0.695951,Family & Parenting\Adoption:0.882482
Constantine the Great	12.223190031814505	52	Law-Government-Politics:0.625352,Lifestyle\Wedding & Engagement:0.413554,Law-Government-Politics\Politics:0.95,Lifestyle\Religion and Belief:0.919304,Family & Parenting:0.96312,Finance:0.664066
Mother	12.027531793805585	93	Arts & Entertainment\Movies/Television:0.95,Health:0.880906,Lifestyle\Religion and Belief:0.700451,Family & Parenting:1.0,Family & Parenting\Pregnancy:0.735031,Health\Nutrition:0.3695,Family & Parenting\Adoption:0.882482
Edward III of England	11.972844566441594	117	Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Law-Government-Politics:0.771346,Health:0.657868,Law-Government-Politics\Politics:0.95,Family & Parenting:0.961254
Queen mother	11.962523151915894	48	Health:0.401734,Family & Parenting:0.999789
Mother Teresa	11.939522877960355	62	Home & Garden\Kitchen and Dining:0.651,Lifestyle\Religion and Belief\Catholicism:0.95,Lifestyle\Religion and Belief:0.997451,Family & Parenting:0.998792,Arts & Entertainment\Books and Literature:0.95,Health\Health Conditions\AIDS/HIV:0.680274,Home & Garden:0.655142
Given name	11.887119043240869	101	Family & Parenting:0.747959
Family	11.591041609534884	82	Lifestyle\Dating:0.563176,Lifestyle\Genealogy:0.769467,Family & Parenting:0.9909
Philip II of Macedon	11.162323820572954	57	Family & Parenting:0.65978
Founding Fathers of the United States	11.093741802306473	72	Health:0.514713,Family & Parenting:0.885445
House of Bourbon	10.978925996446197	98	Real Estate:0.640558,Lifestyle\Wedding & Engagement:0.629741,Family & Parenting:0.735199
Hundred Years' War	10.759520658720765	56	Family & Parenting:0.654851
Empress dowager	10.591077793592325	101	Law-Government-Politics:0.692611,Family & Parenting:0.882342
Father	10.13378522158208	89	Family & Parenting:0.999995
Mother Jones (magazine)	10.018167053600113	37	News:0.665,Law-Government-Politics\Politics:0.665,Family & Parenting:0.998289
Incest	9.742820846216768	77	Negative\Mature/Adult:0.986154,Health:0.542413,Lifestyle\Wedding & Engagement:0.616864,Lifestyle\Ethnic & Identity Groups:0.548809,Lifestyle\Dating:0.518164,Family & Parenting:0.999584,Family & Parenting\Adoption:0.67036
Writ of acceleration	9.73983958427879	53	Real Estate:0.494464,Family & Parenting:0.885039
Kinship	9.454043008463609	45	Lifestyle\Wedding & Engagement:0.459381,Lifestyle\Ethnic & Identity Groups:0.802372,Lifestyle\Genealogy:0.925334,Pets & Animals:0.902255,Lifestyle\Religion and Belief:0.541922,Family & Parenting:0.935097,Online communities\Social networking:0.880892
Child	9.43027396136764	55	Arts & Entertainment\Movies/Television:0.95,Family & Parenting\Kids & Teens:0.874714,Family & Parenting\Daycare/Pre School:0.857125,Lifestyle\Religion and Belief:0.721743,Family & Parenting:0.956973,Education\Childhood Education:0.763234,Education:0.798389
Ottoman dynasty	9.064444096826236	76	Law-Government-Politics:0.48525,Family & Parenting:0.753264
Child custody	9.063927288376286	77	Shopping:0.651,Health\Mental health\Psychology/Psychiatry:0.683391,Family & Parenting\Kids & Teens:0.90783,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.512686,Family & Parenting\Daycare/Pre School:0.616405,Family & Parenting:1.0
Holy Ghost Fathers	8.148992981770458	40	Education:0.692303,Lifestyle\Religion and Belief:0.833666,Family & Parenting:0.961618
Lady-in-waiting	8.11962175450535	68	Home & Garden\Bed and bath:0.651,Family & Parenting:0.680825
Orphanage	8.096073230911786	49	Family & Parenting\Kids & Teens:0.501333,Family & Parenting\Daycare/Pre School:0.501921,Family & Parenting:0.979258,Education:0.918876,Home & Garden:0.891531
Age of majority	7.9608144689397236	29	Family & Parenting\Kids & Teens:0.58728,Family & Parenting:0.693551
Dowry	7.768737717027993	60	Food & Drink\Alcoholic Beverages\Wine:0.651,Lifestyle\Wedding & Engagement:0.849689,Family & Parenting:0.906485
Legitimacy (family law)	7.754545819620825	43	Lifestyle\Wedding & Engagement:0.633589,Family & Parenting:0.977568
Meiosis	7.646165154195088	31	Pets & Animals:0.89385,Family & Parenting:0.993207
Gaia (mythology)	7.4802408632440756	55	Family & Parenting:0.690539
Offspring	7.425726626337823	30	Health\Health Conditions\Cancer:0.742656,Family & Parenting\Kids & Teens:0.842395,Sports\Motor Sports\Auto Racing:0.878199,Health:0.751933,Pets & Animals\Birds:0.708794,Pets & Animals:0.751394,Family & Parenting:0.999998
Septuagint	7.391183157490872	39	Arts & Entertainment\Books and Literature:0.955408,Health:0.382459,Lifestyle\Religion and Belief:0.437251,Family & Parenting:0.986028
Kidnapping	7.101998624855813	47	Family & Parenting:0.725139
Foster care	7.01967654349192	51	Family & Parenting\Daycare/Pre School:0.719289,Family & Parenting:0.741249
Queen regnant	6.91798908405794	47	Law-Government-Politics:0.729091,Health:0.710555,Family & Parenting:0.898075,Style & Fashion\Fitness:0.651
Parenting	6.8781976594235195	51	Health\Pediatrics:0.698101,Family & Parenting\Kids & Teens:0.474821,Law-Government-Politics:0.656244,Health:0.727085,Style & Fashion\Fitness:0.675709,Family & Parenting:0.999999,Family & Parenting\Babies & Toddlers:0.987204
Maximilian I, Holy Roman Emperor	6.875863852416508	48	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Lifestyle\Wedding & Engagement:0.401823,Family & Parenting:0.960079
Order of St Michael and St George	6.684170607844276	39	Family & Parenting:0.677263
Patronymic	6.559371101976653	69	Family & Parenting:0.898616
Mother goddess	6.518518290071002	43	Sciences\Earth science:0.531189,Lifestyle\Religion and Belief:0.836221,Family & Parenting:0.98846
Wali	6.38348170927895	14	Lifestyle\Wedding & Engagement:0.481482,Family & Parenting:0.696066
Louis XI of France	6.33720226250262	34	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Health\Aging and Geriatrics:0.460046,Family & Parenting:0.986977
Louis the Pious	6.334689233813369	46	Law-Government-Politics:0.419295,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Family & Parenting:0.963305
Canadian Confederation	6.188067467489456	27	Law-Government-Politics:0.289165,Family & Parenting:0.651
Family name	6.168414643188161	45	Lifestyle\Wedding & Engagement:0.616864,Lifestyle\Genealogy:0.823498,Family & Parenting:0.999904
Congregation of the Sacred Hearts of Jesus and Mary	6.16008782664526	18	Lifestyle\Religion and Belief:0.785972,Family & Parenting:0.886907
James Francis Edward Stuart	6.122070805711276	41	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Health\Aging and Geriatrics:0.38922,Family & Parenting:0.986433
Heredity	6.0467421171497815	24	Sciences\Ecology & Environment:0.596324,Family & Parenting:0.90141
Valide sultan	5.864016461634289	43	Law-Government-Politics:0.485326,Health:0.533625,Family & Parenting:0.999938
Capital punishment in the United States	5.621040169604876	33	Family & Parenting:0.329819
Parvati	5.615438320962672	40	Lifestyle\Religion and Belief:0.821783,Family & Parenting:0.941038
Child abandonment	5.599196775806162	32	Family & Parenting:0.896219
Cybele	5.535547511927304	43	Pets & Animals\Wildlife:0.676077,Food & Drink\Alcoholic Beverages\Wine:0.68245,Lifestyle\Religion and Belief:0.94192,Family & Parenting:0.967431,Family & Parenting\Pregnancy:0.657931
Shah Jahan	5.519021066918591	30	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Family & Parenting:0.960181
Adolf Frederick I, Duke of Mecklenburg	5.430375270580289	9	Family & Parenting:0.65978
Y chromosome	5.42707842889753	34	Pets & Animals:0.817672,Health\Men's health:0.651,Lifestyle\Genealogy:0.694492,Family & Parenting:0.844858
Ptolemaic dynasty	5.417786185465353	46	Family & Parenting:0.741226
Funk	5.382700717529296	15	Arts & Entertainment\Music:0.674087,Family & Parenting:0.706554
World Council of Churches	5.328615885742187	9	Lifestyle\Religion and Belief:0.625873,Family & Parenting:0.659821
Jus soli	5.287521007489763	21	Finance\Grants & Financial assistance:0.651,Family & Parenting:0.708546
Jahangir	5.262285785966807	25	Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Health:0.876042,Lifestyle\Wedding & Engagement:0.72055,Lifestyle\Dating:0.720503,Lifestyle\Religion and Belief:0.964081,Family & Parenting:0.999831,Arts & Entertainment\Books and Literature:0.955234
Durga	5.2618439579263185	36	Lifestyle\Religion and Belief:0.65358,Family & Parenting:0.742226
White Fathers	5.178563595126117	23	Lifestyle\Religion and Belief:0.715036,Family & Parenting:0.959093
Infanticide	5.136353996044344	32	Family & Parenting\Babies & Toddlers:0.878199,Health\Aging and Geriatrics:0.727248,Family & Parenting:0.970098
Child support	5.100104033615287	43	Family & Parenting\Kids & Teens:0.863324,Lifestyle\Wedding & Engagement:0.608881,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.683412,Family & Parenting\Daycare/Pre School:0.756236,Family & Parenting:1.0,Education:0.614024,Finance:0.651
Alexandra of Denmark	5.027482525811374	28	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Style & Fashion\Fashion:0.678383,Style & Fashion:0.668281,Family & Parenting:0.964617,Style & Fashion\Clothing:0.708423
Catherine de' Medici	4.987693704932321	41	Law-Government-Politics:0.571492,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Health:0.514713,Family & Parenting:0.96615
Heian period	4.971369528645422	42	Family & Parenting:0.695386
Ptolemy II Philadelphus	4.950221723006607	24	Reference\Libraries & Museums\Museums:0.651,Education:0.670024,Family & Parenting:0.729705
Quartering (heraldry)	4.9362380980471725	21	Health:0.633505,Family & Parenting:0.983396,Health\Health Conditions\A.D.D.:0.651
Romulus and Remus	4.927630474355987	30	Family & Parenting:0.781232
DNA profiling	4.915816940976249	26	Family & Parenting:0.69999,Electronics & Computing\Software:0.651
Godparent	4.900825713448689	41	Lifestyle\Religion and Belief:0.661965,Family & Parenting:0.924714
Nuclear family	4.8606965394633495	28	Law-Government-Politics:0.713783,Family & Parenting\Kids & Teens:0.542787,Family & Parenting:0.993363
Oedipus	4.855306696761847	35	Style & Fashion\Skin & Facial Care:0.655699,Style & Fashion\Cosmetic procedures:0.655699,Lifestyle\Wedding & Engagement:0.698567,Arts & Entertainment:0.900939,Family & Parenting:0.998902,Style & Fashion\Clothing:0.654562,Family & Parenting\Babies & Toddlers:0.891828
Orphan	4.836648368518693	30	Pets & Animals:0.661776,Family & Parenting:0.996888
Father Rale's War	4.805883062279859	35	Sports\Game & Fishing:0.41406,Family & Parenting:0.998298
Uncle	4.786470648909149	12	Arts & Entertainment\Movies/Television:0.954269,Lifestyle\Ethnic & Identity Groups:0.55862,Lifestyle\Genealogy:0.763662,Lifestyle\Religion and Belief:0.501486,Family & Parenting:0.999987,Online communities\Social networking:0.625865
Rhea (mythology)	4.7555104182980985	38	Family & Parenting:0.90514
Corporal punishment	4.738146445610798	27	Education:0.847356,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.728082,Family & Parenting:0.926566
Hathor	4.7251255731299855	29	Health:0.713615,Business\Agriculture & Forestry:0.540754,Lifestyle\Dating:0.694222,Pets & Animals:0.724328,Lifestyle\Religion and Belief:0.602921,Family & Parenting:0.96607,Style & Fashion\Jewelry:0.756619
Matrilineality	4.721665940369629	29	Lifestyle\Ethnic & Identity Groups:0.544729,Family & Parenting:0.968994
Margaret Beaufort, Countess of Richmond and Derby	4.681450576868046	36	Family & Parenting:0.764021
Queen dowager	4.681357917831355	15	Health:0.514713,Family & Parenting:0.960507
Sayyid	4.66840028292022	25	Lifestyle\Religion and Belief:0.371721,Family & Parenting:0.966869
Annunciation	4.663500358563079	23	Family & Parenting\Pregnancy:0.701033,Lifestyle\Religion and Belief:0.855697,Family & Parenting:0.890341
Devanagari	4.636471421399706	23	Family & Parenting:0.679859
Mawla	4.62860755916625	3	Family & Parenting:0.880359
B̩la IV of Hungary	4.508538888547184	28	Finance\Grants & Financial assistance:0.651,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Health\Aging and Geriatrics:0.532041,Law-Government-Politics:0.795993,Family & Parenting:0.968745
